City_ID,City,Country,Max Temp,City_Description,Lat,Lng,Hotel Name
3,Rikitea,PF,76.87,clear sky,-23.1203,-134.9692,People ThankYou
6,Butaritari,KI,81.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
17,Atuona,PF,79.03,few clouds,-9.8,-139.0333,Villa Enata
19,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
28,Kavaratti,IN,85.26,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
30,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
31,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
38,Kismayo,SO,80.82,clear sky,-0.3582,42.5454,Agan-Hotel
39,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
52,Bengkulu,ID,79.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Bubaque,GW,77.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
65,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
68,Ransang,PH,85.69,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
75,Truth Or Consequences,US,76.44,clear sky,33.1284,-107.2528,Charles Hot Springs
80,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
85,Umm Lajj,SA,80.28,broken clouds,25.0213,37.2685,Moon light Furnished Units
89,Victoria,HK,78.94,moderate rain,22.2855,114.1577,Mini Central
91,Coahuayana,MX,75.06,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
94,Faanui,PF,82.67,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Kavieng,PG,85.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
104,Homestead,US,75.02,clear sky,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
108,Aden,YE,83.64,clear sky,12.7794,45.0367,Sama Emirate Hotel
110,Meulaboh,ID,80.44,overcast clouds,4.1363,96.1285,Kost Pria
113,Bhainsdehi,IN,85.12,broken clouds,21.6467,77.6325,Prince Rathore HOME
117,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
121,Marawi,PH,78.8,broken clouds,7.9986,124.2928,Derogongan Residence
137,Salalah,OM,82.56,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
138,Gizo,SB,84.2,light rain,-8.103,156.8419,Imagination Island
147,Nicoya,CR,80.98,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
