City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_Description
0,Salta,AR,-24.7859,-65.4117,56.57,81,0,3.0,clear sky
1,Cherskiy,RU,68.75,161.3,27.27,81,100,6.6,overcast clouds
2,Namibe,AO,-15.1961,12.1522,72.41,66,83,8.77,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,76.87,70,10,14.94,clear sky
4,Barrow,US,71.2906,-156.7887,24.82,74,100,12.66,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,42.46,70,0,2.3,clear sky
6,Butaritari,KI,3.0707,172.7902,81.28,72,10,14.03,clear sky
7,Bati,ET,11.1833,40.0167,67.5,52,1,4.5,light rain
8,Cidreira,BR,-30.1811,-50.2056,63.5,95,100,1.54,overcast clouds
9,Pareora,NZ,-44.4871,171.2132,56.17,72,7,4.92,clear sky
10,Gorin,RU,51.1983,136.6669,72.43,33,38,10.69,scattered clouds
11,Poum,NC,-20.2333,164.0167,78.37,73,43,18.86,scattered clouds
12,Kumano,JP,34.3442,132.5894,63.52,95,100,4.09,overcast clouds
13,Broome,US,42.2506,-75.833,56.17,82,0,2.62,clear sky
14,Ostrovnoy,RU,68.0531,39.5131,38.93,85,56,15.86,broken clouds
15,Jinchang,CN,38.4953,102.1739,66.4,28,54,7.58,broken clouds
16,Qaanaaq,GL,77.484,-69.3632,12.07,72,0,6.69,clear sky
17,Atuona,PF,-9.8,-139.0333,79.03,69,24,20.13,few clouds
18,Pangnirtung,CA,66.1451,-65.7125,19.69,83,100,8.84,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,75.25,94,20,4.61,few clouds
20,Havelock,US,34.8791,-76.9013,60.75,76,34,5.99,scattered clouds
21,Busselton,AU,-33.65,115.3333,65.93,65,100,5.79,overcast clouds
22,Kapaa,US,22.0752,-159.319,82.38,77,96,4.0,overcast clouds
23,Mount Gambier,AU,-37.8333,140.7667,62.51,72,40,5.75,scattered clouds
24,Nome,US,64.5011,-165.4064,32.16,93,100,10.36,overcast clouds
25,Aswan,EG,24.0934,32.907,81.7,18,0,8.05,clear sky
26,Kaeo,NZ,-35.1,173.7833,65.32,63,0,9.22,clear sky
27,Hermanus,ZA,-34.4187,19.2345,60.8,81,98,14.88,overcast clouds
28,Kavaratti,IN,10.5669,72.642,85.26,67,100,16.51,light rain
29,Andenes,NO,69.3143,16.1194,40.98,93,75,8.05,broken clouds
30,Vaini,TO,-21.2,-175.2,80.76,65,20,6.91,few clouds
31,Avarua,CK,-21.2078,-159.775,80.65,83,75,4.61,broken clouds
32,Victor Harbor,AU,-35.5667,138.6167,62.67,86,50,7.27,scattered clouds
33,Mataura,NZ,-46.1927,168.8643,57.47,59,15,3.53,few clouds
34,Paragominas,BR,-2.9667,-47.4833,70.75,96,98,2.77,overcast clouds
35,Albany,US,42.6001,-73.9662,54.77,58,0,5.5,clear sky
36,Foumban,CM,5.7291,10.9001,63.88,96,100,2.82,light rain
37,Sobolevo,RU,54.4299,31.8996,36.91,79,89,7.29,overcast clouds
38,Kismayo,SO,-0.3582,42.5454,80.82,84,6,14.0,clear sky
39,Cayenne,GF,4.9333,-52.3333,82.09,1,75,4.0,broken clouds
40,Leh,IN,34.1667,77.5833,48.38,42,4,3.31,clear sky
41,Port Alfred,ZA,-33.5906,26.891,65.17,87,6,7.0,clear sky
42,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,8.05,broken clouds
43,Yellowknife,CA,62.456,-114.3525,37.92,65,100,6.91,light snow
44,Alice Springs,AU,-23.7,133.8833,69.22,32,0,8.05,clear sky
45,Aliwal North,ZA,-30.6937,26.7114,49.21,51,81,4.5,broken clouds
