City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sompeta,IN,2022-05-08 21:11:14,18.9333,84.6,80.42,84,79,7.7
1,Cidreira,BR,2022-05-08 21:11:14,-30.1811,-50.2056,66.47,78,0,13.87
2,Carnarvon,AU,2022-05-08 21:11:15,-24.8667,113.6333,60.87,94,0,8.05
3,Upernavik,GL,2022-05-08 21:01:45,72.7868,-56.1549,19.51,80,73,6.53
4,Norman Wells,CA,2022-05-08 21:07:47,65.282,-126.8329,43.29,56,100,1.59
5,Arraial Do Cabo,BR,2022-05-08 21:07:15,-22.9661,-42.0278,75.06,64,75,4.61
6,Tomatlan,MX,2022-05-08 21:11:16,19.9333,-105.25,87.73,47,6,10.07
7,Tuktoyaktuk,CA,2022-05-08 21:08:49,69.4541,-133.0374,35.17,88,43,14.63
8,Cherskiy,RU,2022-05-08 21:11:17,68.75,161.3,22.89,92,100,11.63
9,Urengoy,RU,2022-05-08 21:11:17,65.9667,78.3667,33.37,98,100,12.88
10,Bluff,NZ,2022-05-08 21:11:18,-46.6,168.3333,49.8,88,100,2.13
11,Bambous Virieux,MU,2022-05-08 21:11:18,-20.3428,57.7575,72.21,94,20,3.44
12,Kapaa,US,2022-05-08 21:11:19,22.0752,-159.319,80.58,77,40,12.66
13,Punta Arenas,CL,2022-05-08 21:09:51,-53.15,-70.9167,44.71,65,40,36.82
14,Lima,PE,2022-05-08 21:08:08,-12.0432,-77.0282,70.39,69,0,9.22
15,Castro,BR,2022-05-08 21:11:20,-24.7911,-50.0119,56.46,85,2,4.68
16,Yellowknife,CA,2022-05-08 21:01:33,62.456,-114.3525,27.12,86,100,26.46
17,Tasiilaq,GL,2022-05-08 21:11:21,65.6145,-37.6368,37.56,66,100,4.09
18,New Norfolk,AU,2022-05-08 21:11:22,-42.7826,147.0587,40.71,82,42,2.86
19,Seoul,KR,2022-05-08 21:11:22,37.5683,126.9778,53.04,76,78,2.06
20,Tra Vinh,VN,2022-05-08 21:11:23,9.9347,106.3453,78.21,86,100,9.01
21,Port Elizabeth,ZA,2022-05-08 21:08:56,-33.918,25.5701,61.32,96,100,5.75
22,Asau,RO,2022-05-08 21:11:23,46.4333,26.4,49.95,84,100,2.04
23,Cockburn Town,TC,2022-05-08 21:11:24,21.4612,-71.1419,79.65,77,0,3.91
24,Coquimbo,CL,2022-05-08 21:11:24,-29.9533,-71.3436,62.33,67,40,6.91
25,Avarua,CK,2022-05-08 21:08:57,-21.2078,-159.775,86.05,79,40,8.05
26,Kodiak,US,2022-05-08 20:58:18,57.79,-152.4072,45.12,57,94,3.67
27,Georgetown,MY,2022-05-08 21:07:15,5.4112,100.3354,79.61,84,100,2.68
28,Egvekinot,RU,2022-05-08 21:11:26,66.3167,-179.1667,27.57,91,100,1.81
29,Quatre Cocos,MU,2022-05-08 21:11:26,-20.2078,57.7625,72.09,87,26,8.97
30,Atuona,PF,2022-05-08 21:11:27,-9.8,-139.0333,78.6,75,1,16.04
31,Dikson,RU,2022-05-08 21:11:27,73.5069,80.5464,24.73,94,100,28.23
32,Barrow,US,2022-05-08 21:11:28,71.2906,-156.7887,28.42,86,75,13.8
33,Cape Town,ZA,2022-05-08 21:11:28,-33.9258,18.4232,58.91,80,100,1.99
34,Bredasdorp,ZA,2022-05-08 21:01:37,-34.5322,20.0403,54.84,86,99,2.98
35,Komsomolskiy,UZ,2022-05-08 21:11:29,40.4272,71.7189,75.79,32,0,3.04
36,Kavieng,PG,2022-05-08 21:11:30,-2.5744,150.7967,84.67,66,100,18.03
37,Rikitea,PF,2022-05-08 21:11:30,-23.1203,-134.9692,76.37,77,87,20.45
38,Mount Gambier,AU,2022-05-08 21:06:34,-37.8333,140.7667,44.24,90,94,4.32
39,Albany,US,2022-05-08 21:11:31,42.6001,-73.9662,64.33,25,100,1.01
40,Yilan,TW,2022-05-08 21:11:32,24.757,121.753,77.36,99,100,1.36
41,Dillon,US,2022-05-08 21:10:24,34.4166,-79.3712,61.25,65,95,13.65
42,Rio Grande,BR,2022-05-08 21:11:32,-32.035,-52.0986,64.94,83,1,8.88
43,Ilulissat,GL,2022-05-08 21:11:33,69.2167,-51.1,28.42,74,3,0.0
44,Kaminoyama,JP,2022-05-08 21:11:33,38.1539,140.2736,48.9,54,96,1.19
45,Banda Aceh,ID,2022-05-08 21:11:34,5.5577,95.3222,79.99,80,100,3.85
46,Panjab,AF,2022-05-08 21:11:34,34.388,67.0233,54.48,55,65,2.93
47,Pevek,RU,2022-05-08 21:12:35,69.7008,170.3133,22.95,86,100,12.37
48,Sol-Iletsk,RU,2022-05-08 21:12:36,51.1631,54.9918,53.1,48,100,11.95
49,Bergen,NO,2022-05-08 21:07:58,60.392,5.328,47.16,75,0,4.61
50,Fairbanks,US,2022-05-08 21:12:37,64.8378,-147.7164,44.6,59,100,12.66
51,Zhigansk,RU,2022-05-08 21:12:37,66.7697,123.3711,19.56,93,100,25.64
52,Acapulco,MX,2022-05-08 21:12:38,16.8634,-99.8901,85.82,66,0,11.5
53,Yining,CN,2022-05-08 21:12:38,29.0361,114.5636,66.76,98,87,1.52
54,San Cristobal,VE,2022-05-08 21:12:39,7.7669,-72.225,80.78,60,35,5.08
55,Tanout,NE,2022-05-08 21:12:39,14.9709,8.8879,90.93,25,90,3.38
56,Ushuaia,AR,2022-05-08 21:09:54,-54.8,-68.3,42.46,75,40,28.77
57,Hilo,US,2022-05-08 21:12:40,19.7297,-155.09,92.28,80,100,14.97
58,Clyde River,CA,2022-05-08 21:12:41,70.4692,-68.5914,27.64,83,32,5.46
59,Qaanaaq,GL,2022-05-08 21:12:41,77.484,-69.3632,25.02,78,100,1.61
60,Labuan,MY,2022-05-08 21:12:42,5.2767,115.2417,81.61,83,100,8.25
61,Guinabsan,PH,2022-05-08 21:12:42,8.8975,125.4161,74.95,94,100,4.52
62,Burnie,AU,2022-05-08 21:12:43,-41.0667,145.9167,47.46,76,54,4.05
63,Monrovia,LR,2022-05-08 21:12:44,6.3005,-10.7969,77.74,87,100,6.24
64,Butaritari,KI,2022-05-08 21:12:44,3.0707,172.7902,82.0,79,11,17.0
65,Prince Rupert,CA,2022-05-08 21:11:06,54.3161,-130.3201,47.32,75,91,5.3
66,Mataura,NZ,2022-05-08 21:12:45,-46.1927,168.8643,49.48,95,99,0.92
67,Charters Towers,AU,2022-05-08 21:12:45,-20.1,146.2667,67.66,92,100,11.48
68,Port Shepstone,ZA,2022-05-08 21:12:46,-30.7414,30.455,65.75,73,100,8.55
